Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail
2023-01-04,100000,100000,0,0,
2023-01-05,100000,100000,0,0,
2023-01-06,100000,100000,0,0,
2023-01-10,100000,100000,0,0,
2023-01-11,100000,100000,0,0,
2023-01-12,100000,100000,0,0,
2023-01-13,100000,100000,0,0,
2023-01-16,100000,100000,0,0,
2023-01-17,100000,100000,0,0,
2023-01-18,100000,100000,0,0,
2023-01-19,100000,100000,0,0,
2023-01-20,100000,100000,0,0,
2023-01-23,100000,100000,0,0,
2023-01-24,100000,100000,0,0,
2023-01-25,100000,100000,0,0,
2023-01-26,100000,100000,0,0,
2023-01-27,100000,100000,0,0,
2023-01-30,100000,100000,0,0,
2023-01-31,100000,20893,79106,1,6723.T:61
2023-02-01,101636,20893,80743,1,6723.T:61
2023-02-02,103748,20893,82855,1,6723.T:61
2023-02-03,103318,103318,0,0,
2023-02-06,103318,103318,0,0,
2023-02-07,103318,23632,79685,1,7735.T:17
2023-02-08,104328,23632,80696,1,7735.T:17
2023-02-09,102929,23632,79297,1,7735.T:17
2023-02-10,105028,23632,81396,1,7735.T:17
2023-02-13,103397,103397,0,0,
2023-02-14,103397,24680,78716,1,6146.T:6
2023-02-15,102722,24680,78041,1,6146.T:6
2023-02-16,104844,24680,80163,1,6146.T:6
2023-02-17,102433,24680,77752,1,6146.T:6
2023-02-20,101854,24680,77173,1,6146.T:6
2023-02-21,101468,24680,76787,1,6146.T:6
2023-02-22,102336,24680,77655,1,6146.T:6
2023-02-24,108124,24680,83443,1,6146.T:6
2023-02-27,106774,106774,0,0,
2023-02-28,106774,106774,0,0,
2023-03-01,106774,106774,0,0,
2023-03-02,106774,106774,0,0,
2023-03-03,106774,106774,0,0,
2023-03-06,106774,106774,0,0,
2023-03-07,106774,106774,0,0,
2023-03-08,106774,106774,0,0,
2023-03-09,106774,30921,75852,1,8035.T:5
2023-03-10,105823,30921,74901,1,8035.T:5
2023-03-13,105261,30921,74339,1,8035.T:5
2023-03-14,103733,30921,72811,1,8035.T:5
2023-03-15,103826,30921,72904,1,8035.T:5
2023-03-16,104497,30921,73575,1,8035.T:5
2023-03-17,106649,30921,75727,1,8035.T:5
2023-03-20,104684,30921,73762,1,8035.T:5
2023-03-22,106353,30921,75431,1,8035.T:5
2023-03-23,107491,30921,76569,1,8035.T:5
2023-03-24,108895,30921,77973,1,8035.T:5
2023-03-27,107471,107471,0,0,
2023-03-28,107471,107471,0,0,
2023-03-29,107471,92400,15070,1,8035.T:1
2023-03-30,107669,92400,15268,1,8035.T:1
2023-03-31,107486,107486,0,0,
2023-04-03,107486,107486,0,0,
2023-04-04,107486,107486,0,0,
2023-04-05,107486,107486,0,0,
2023-04-06,107486,107486,0,0,
2023-04-07,107486,107486,0,0,
2023-04-10,107486,36812,70674,1,6501.T:50
2023-04-11,107486,36812,70674,1,6501.T:50
2023-04-12,108038,36812,71226,1,6501.T:50
2023-04-13,107535,36812,70722,1,6501.T:50
2023-04-14,108522,36812,71710,1,6501.T:50
2023-04-17,109422,36812,72610,1,6501.T:50
2023-04-18,110332,36812,73520,1,6501.T:50
2023-04-19,110894,36812,74082,1,6501.T:50
2023-04-20,111194,36812,74382,1,6501.T:50
2023-04-21,111630,36812,74817,1,6501.T:50
2023-04-24,112094,36812,75282,1,6501.T:50
2023-04-25,111988,111988,0,0,
2023-04-26,111988,24327,87660,1,6301.T:30
2023-04-27,113588,24327,89260,1,6301.T:30
2023-04-28,115026,24327,90698,1,6301.T:30
2023-05-01,117304,24327,92976,1,6301.T:30
2023-05-02,116816,20259,96557,2,"6501.T:38, 6758.T:16"
2023-05-08,116626,20259,96367,2,"6501.T:38, 6758.T:16"
2023-05-09,118165,20259,97906,2,"6501.T:38, 6758.T:16"
2023-05-10,117111,20259,96852,2,"6501.T:38, 6758.T:16"
2023-05-11,117303,20259,97043,2,"6501.T:38, 6758.T:16"
2023-05-12,118262,20259,98002,2,"6501.T:38, 6758.T:16"
2023-05-15,119458,20259,99199,2,"6501.T:38, 6758.T:16"
2023-05-16,120072,20259,99813,2,"6501.T:38, 6758.T:16"
2023-05-17,120471,20259,100212,2,"6501.T:38, 6758.T:16"
2023-05-18,124438,20259,104179,2,"6501.T:38, 6758.T:16"
2023-05-19,124246,124246,0,0,
2023-05-22,124246,124246,0,0,
2023-05-23,124246,124246,0,0,
2023-05-24,124246,124246,0,0,
2023-05-25,124246,124246,0,0,
2023-05-26,124246,124246,0,0,
2023-05-29,124246,124246,0,0,
2023-05-30,124246,124246,0,0,
2023-05-31,124246,124246,0,0,
2023-06-01,124246,124246,0,0,
2023-06-02,124246,124246,0,0,
2023-06-05,124246,124246,0,0,
2023-06-06,124246,124246,0,0,
2023-06-07,124246,124246,0,0,
2023-06-08,124246,124246,0,0,
2023-06-09,124246,124246,0,0,
2023-06-12,124246,26400,97846,1,6758.T:36
2023-06-13,125061,26400,98661,1,6758.T:36
2023-06-14,125876,26400,99476,1,6758.T:36
2023-06-15,125274,26400,98874,1,6758.T:36
2023-06-16,123963,26400,97562,1,6758.T:36
2023-06-19,123289,26400,96889,1,6758.T:36
2023-06-20,123750,26400,97350,1,6758.T:36
2023-06-21,121872,26400,95472,1,6758.T:36
2023-06-22,120950,120950,0,0,
2023-06-23,120950,120950,0,0,
2023-06-26,120950,120950,0,0,
2023-06-27,120950,120950,0,0,
2023-06-28,120950,120950,0,0,
2023-06-29,120950,120950,0,0,
2023-06-30,120950,120950,0,0,
2023-07-03,120950,120950,0,0,
2023-07-04,120950,120950,0,0,
2023-07-05,120950,120950,0,0,
2023-07-06,120950,120950,0,0,
2023-07-07,120950,120950,0,0,
2023-07-10,120950,120950,0,0,
2023-07-11,120950,120950,0,0,
2023-07-12,120950,24469,96481,1,8411.T:47
2023-07-13,119964,24469,95494,1,8411.T:47
2023-07-14,119427,24469,94958,1,8411.T:47
2023-07-18,122044,24469,97575,1,8411.T:47
2023-07-19,121637,24469,97167,1,8411.T:47
2023-07-20,120800,24469,96330,1,8411.T:47
2023-07-21,120671,24469,96202,1,8411.T:47
2023-07-24,119427,24469,94958,1,8411.T:47
2023-07-25,120586,24469,96116,1,8411.T:47
2023-07-26,120586,24469,96116,1,8411.T:47
2023-07-27,121851,24469,97381,1,8411.T:47
2023-07-28,126527,24469,102057,1,8411.T:47
2023-07-31,127600,24469,103130,1,8411.T:47
2023-08-01,128072,128072,0,0,
2023-08-02,128072,26352,101719,1,6501.T:56
2023-08-03,124927,26352,98575,1,6501.T:56
2023-08-04,125751,26352,99399,1,6501.T:56
2023-08-07,126629,26352,100277,1,6501.T:56
2023-08-08,125513,26352,99160,1,6501.T:56
2023-08-09,125187,26352,98835,1,6501.T:56
2023-08-10,126348,26352,99995,1,6501.T:56
2023-08-14,126575,26352,100223,1,6501.T:56
2023-08-15,127735,26352,101383,1,6501.T:56
2023-08-16,126966,26352,100613,1,6501.T:56
2023-08-17,126163,26352,99811,1,6501.T:56
2023-08-18,125296,26352,98943,1,6501.T:56
2023-08-21,125805,26352,99453,1,6501.T:56
2023-08-22,127822,26352,101470,1,6501.T:56
2023-08-23,127638,26352,101285,1,6501.T:56
2023-08-24,128668,26352,102316,1,6501.T:56
2023-08-25,127584,26352,101231,1,6501.T:56
2023-08-28,129503,26352,103150,1,6501.T:56
2023-08-29,128831,26352,102478,1,6501.T:56
2023-08-30,129731,26352,103378,1,6501.T:56
2023-08-31,131465,26352,105113,1,6501.T:56
2023-09-01,133905,26352,107553,1,6501.T:56
2023-09-04,135271,26352,108919,1,6501.T:56
2023-09-05,134170,134170,0,0,
2023-09-06,134170,7782,126388,1,8035.T:6
2023-09-07,133285,7782,125503,1,8035.T:6
2023-09-08,128484,7782,120702,1,8035.T:6
2023-09-11,124883,7782,117101,1,8035.T:6
2023-09-12,126284,7782,118502,1,8035.T:6
2023-09-13,125569,7782,117787,1,8035.T:6
2023-09-14,129141,7782,121359,1,8035.T:6
