Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail,Market_Mode
2023-01-04,100000,117,99882,1,8002.T(75),HOMERUN
2023-01-05,100302,117,100185,1,8002.T(75),HOMERUN
2023-01-06,99932,117,99815,1,8002.T(75),HOMERUN
2023-01-10,100201,117,100084,1,8002.T(75),HOMERUN
2023-01-11,101513,117,101396,1,8002.T(75),GUERRILLA
2023-01-12,101984,117,101867,1,8002.T(75),GUERRILLA
2023-01-13,102287,117,102170,1,8002.T(75),GUERRILLA
2023-01-16,101009,117,100891,1,8002.T(75),GUERRILLA
2023-01-17,102220,117,102102,1,8002.T(75),GUERRILLA
2023-01-18,104440,117,104323,1,8002.T(75),GUERRILLA
2023-01-19,102926,117,102809,1,8002.T(75),GUERRILLA
2023-01-20,104003,117,103885,1,8002.T(75),GUERRILLA
2023-01-23,105349,117,105231,1,8002.T(75),GUERRILLA
2023-01-24,107401,117,107283,1,8002.T(75),GUERRILLA
2023-01-25,107266,117,107149,1,8002.T(75),GUERRILLA
2023-01-26,107603,117,107485,1,8002.T(75),GUERRILLA
2023-01-27,108982,117,108864,1,8002.T(75),GUERRILLA
2023-01-30,107603,117,107485,1,8002.T(75),GUERRILLA
2023-01-31,106862,117,106745,1,8002.T(75),GUERRILLA
2023-02-01,107973,117,107855,1,8002.T(75),GUERRILLA
2023-02-02,106190,117,106072,1,8002.T(75),GUERRILLA
2023-02-03,110866,117,110748,1,8002.T(75),GUERRILLA
2023-02-06,115542,117,115425,1,8002.T(75),GUERRILLA
2023-02-07,117056,117,116939,1,8002.T(75),GUERRILLA
2023-02-08,117190,117,117073,1,8002.T(75),GUERRILLA
2023-02-09,118906,117,118789,1,8002.T(75),GUERRILLA
2023-02-10,119108,117,118991,1,8002.T(75),GUERRILLA
2023-02-13,117926,117926,0,0,,GUERRILLA
2023-02-14,117926,589,117336,1,5411.T(84),GUERRILLA
2023-02-15,119324,589,118734,1,5411.T(84),GUERRILLA
2023-02-16,121825,589,121235,1,5411.T(84),HOMERUN
2023-02-17,124966,424,124541,1,8306.T(140),HOMERUN
2023-02-20,127162,424,126738,1,8306.T(140),HOMERUN
2023-02-21,125245,424,124821,1,8306.T(140),HOMERUN
2023-02-22,124230,424,123805,1,8306.T(140),HOMERUN
2023-02-24,122681,424,122256,1,8306.T(140),HOMERUN
2023-02-27,123036,424,122612,1,8306.T(140),HOMERUN
2023-02-28,122947,424,122523,1,8306.T(140),HOMERUN
2023-03-01,120824,339,120485,1,6503.T(83),HOMERUN
2023-03-02,120902,339,120563,1,6503.T(83),HOMERUN
2023-03-03,121953,339,121614,1,6503.T(83),HOMERUN
2023-03-06,122849,339,122509,1,6503.T(83),HOMERUN
2023-03-07,123121,339,122782,1,6503.T(83),HOMERUN
2023-03-08,123666,339,123327,1,6503.T(83),HOMERUN
2023-03-09,124406,339,124067,1,6503.T(83),HOMERUN
2023-03-10,122810,339,122470,1,6503.T(83),HOMERUN
2023-03-13,121525,339,121186,1,6503.T(83),HOMERUN
2023-03-14,119462,339,119123,1,6503.T(83),HOMERUN
2023-03-15,120474,339,120135,1,6503.T(83),HOMERUN
2023-03-16,117593,117593,0,0,,GUERRILLA
2023-03-17,117593,117593,0,0,,GUERRILLA
2023-03-20,117593,117593,0,0,,GUERRILLA
2023-03-22,117593,117593,0,0,,GUERRILLA
2023-03-23,117593,1219,116374,1,3993.T(62),GUERRILLA
2023-03-24,115299,1613,113686,1,4063.T(29),HOMERUN
2023-03-27,115707,273,115434,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-03-28,114375,273,114101,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-03-29,116139,273,115865,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-03-30,116427,273,116153,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-03-31,119573,273,119299,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-04-03,117029,273,116755,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-04-04,116300,273,116027,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-04-05,114401,273,114127,2,"4063.T(29), 6501.T(1)",HOMERUN
2023-04-06,111862,1231,110630,2,"6501.T(1), 6857.T(40)",HOMERUN
2023-04-07,113050,1231,111818,2,"6501.T(1), 6857.T(40)",HOMERUN
2023-04-10,111985,1231,110753,2,"6501.T(1), 6857.T(40)",HOMERUN
2023-04-11,114154,1231,112923,2,"6501.T(1), 6857.T(40)",HOMERUN
2023-04-12,115743,236,115507,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-13,116611,236,116375,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-14,116333,236,116096,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-17,116155,236,115919,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-18,112728,236,112492,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-19,114807,236,114571,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-20,117276,236,117040,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-21,121522,236,121285,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-24,118787,236,118551,3,"6501.T(1), 6857.T(40), 7011.T(2)",HOMERUN
2023-04-25,119951,236,119715,3,"6501.T(1), 6857.T(40), 7011.T(2)",GUERRILLA
2023-04-26,117241,1697,115543,2,"6857.T(40), 7011.T(2)",GUERRILLA
2023-04-27,107387,1739,105647,2,"7011.T(2), 6702.T(59)",HOMERUN
2023-04-28,106564,661,105902,3,"7011.T(2), 6702.T(59), 7267.T(1)",HOMERUN
2023-05-01,110648,661,109987,3,"7011.T(2), 6702.T(59), 7267.T(1)",HOMERUN
2023-05-02,108548,661,107886,3,"7011.T(2), 6702.T(59), 7267.T(1)",HOMERUN
2023-05-08,106268,661,105606,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-09,107288,661,106626,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-10,105594,661,104932,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-11,105281,661,104620,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-12,106172,661,105511,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-15,107612,661,106951,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-16,108213,661,107551,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-17,107325,661,106663,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-18,108853,661,108192,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
2023-05-19,106912,661,106250,3,"7011.T(2), 6702.T(59), 7267.T(1)",GUERRILLA
