Date,Total_Equity,Cash,Holdings_Value,Positions_Count,Holdings_Detail,Market_Mode
2023-01-04,100000,60310,39689,1,7013.T(H),HOMERUN
2023-01-05,98816,36266,62550,2,"7013.T(H), 8002.T(H)",HOMERUN
2023-01-06,99427,36266,63160,2,"7013.T(H), 8002.T(H)",HOMERUN
2023-01-10,99653,36266,63386,2,"7013.T(H), 8002.T(H)",HOMERUN
2023-01-11,100774,36266,64508,2,"7013.T(H), 8002.T(H)",GUERRILLA
2023-01-12,101371,22557,78814,3,"7013.T(H), 8002.T(H), 7012.T(G)",GUERRILLA
2023-01-13,101236,22557,78679,3,"7013.T(H), 8002.T(H), 7012.T(G)",GUERRILLA
2023-01-16,98451,21778,76672,3,"7013.T(H), 8002.T(H), 5411.T(G)",GUERRILLA
2023-01-17,99716,21778,77937,3,"7013.T(H), 8002.T(H), 5411.T(G)",GUERRILLA
2023-01-18,101724,21778,79945,3,"7013.T(H), 8002.T(H), 5411.T(G)",GUERRILLA
2023-01-19,100377,21778,78598,3,"7013.T(H), 8002.T(H), 5411.T(G)",GUERRILLA
2023-01-20,101103,21778,79324,3,"7013.T(H), 8002.T(H), 5411.T(G)",GUERRILLA
2023-01-23,102138,13617,88520,4,"7013.T(H), 8002.T(H), 5411.T(G), 2222.T(G)",GUERRILLA
2023-01-24,103556,28350,75205,3,"7013.T(H), 8002.T(H), 2222.T(G)",GUERRILLA
2023-01-25,104150,28350,75799,3,"7013.T(H), 8002.T(H), 2222.T(G)",GUERRILLA
2023-01-26,104586,28350,76235,3,"7013.T(H), 8002.T(H), 2222.T(G)",GUERRILLA
2023-01-27,104575,36069,68505,2,"7013.T(H), 8002.T(H)",GUERRILLA
2023-01-30,103867,36069,67798,2,"7013.T(H), 8002.T(H)",GUERRILLA
2023-01-31,103958,31693,72265,3,"7013.T(H), 8002.T(H), 7735.T(G)",GUERRILLA
2023-02-01,104272,24696,79576,3,"7013.T(H), 8002.T(H), 4385.T(G)",GUERRILLA
2023-02-02,102908,24696,78212,3,"7013.T(H), 8002.T(H), 4385.T(G)",GUERRILLA
2023-02-03,104106,15612,88494,4,"7013.T(H), 8002.T(H), 4385.T(G), 3092.T(G)",GUERRILLA
2023-02-06,105462,9971,95490,5,"7013.T(H), 8002.T(H), 4385.T(G), 3092.T(G), 3436.T(G)",GUERRILLA
2023-02-07,105762,9971,95790,5,"7013.T(H), 8002.T(H), 4385.T(G), 3092.T(G), 3436.T(G)",GUERRILLA
2023-02-08,104695,22471,82223,4,"7013.T(H), 8002.T(H), 3092.T(G), 3436.T(G)",GUERRILLA
2023-02-09,104597,31128,73468,3,"7013.T(H), 8002.T(H), 3436.T(G)",GUERRILLA
2023-02-10,104563,31128,73434,3,"7013.T(H), 8002.T(H), 3436.T(G)",GUERRILLA
2023-02-13,104289,64868,39420,1,7013.T(H),GUERRILLA
2023-02-14,103858,39725,64133,2,"7013.T(H), 5411.T(G)",GUERRILLA
2023-02-15,104642,39725,64916,2,"7013.T(H), 5411.T(G)",GUERRILLA
2023-02-16,105285,9228,96056,4,"7013.T(H), 5411.T(G), 6723.T(H), 7267.T(H)",HOMERUN
2023-02-17,105828,21647,84180,4,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H)",HOMERUN
2023-02-20,105516,5312,100203,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-02-21,105837,5312,100524,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-02-22,104684,5312,99372,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-02-24,104885,5312,99572,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-02-27,105033,5312,99720,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-02-28,104857,5312,99544,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-03-01,104373,5312,99060,6,"7013.T(H), 6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H)",HOMERUN
2023-03-02,103626,11914,91712,7,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H)",HOMERUN
2023-03-03,104744,7852,96892,8,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H)",HOMERUN
2023-03-06,105647,7852,97794,8,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H)",HOMERUN
2023-03-07,105754,7852,97901,8,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H)",HOMERUN
2023-03-08,106469,7852,98616,8,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H)",HOMERUN
2023-03-09,107592,7852,99739,8,"6723.T(H), 7267.T(H), 8306.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H)",HOMERUN
2023-03-10,105343,14143,91200,8,"6723.T(H), 7267.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6501.T(H), 6503.T(H)",HOMERUN
2023-03-13,103549,7654,95894,9,"6723.T(H), 7267.T(H), 8766.T(H), 9432.T(H), 6301.T(H), 6506.T(H), 6503.T(H), 4063.T(H), 6501.T(H)",HOMERUN
2023-03-14,101084,11442,89641,6,"6723.T(H), 7267.T(H), 6506.T(H), 4063.T(H), 6503.T(H), 6902.T(H)",HOMERUN
2023-03-15,101697,7279,94418,8,"6723.T(H), 7267.T(H), 6506.T(H), 4063.T(H), 6503.T(H), 6902.T(H), 6981.T(H), 8031.T(H)",HOMERUN
2023-03-16,99688,61527,38161,3,"6723.T(H), 6503.T(H), 6981.T(H)",GUERRILLA
2023-03-17,100099,37892,62206,4,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G)",GUERRILLA
2023-03-20,98679,37892,60786,4,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G)",GUERRILLA
2023-03-22,99947,37892,62054,4,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G)",GUERRILLA
2023-03-23,100154,22876,77277,5,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G), 3993.T(G)",GUERRILLA
2023-03-24,99839,18956,80882,6,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G), 3993.T(G), 4063.T(H)",HOMERUN
2023-03-27,100360,12259,88101,7,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G), 3993.T(G), 4063.T(H), 6501.T(H)",HOMERUN
2023-03-28,99918,7922,91996,8,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G), 3993.T(G), 4063.T(H), 6501.T(H), 4661.T(H)",HOMERUN
2023-03-29,102247,7922,94325,8,"6723.T(H), 6503.T(H), 6981.T(H), 2222.T(G), 3993.T(G), 4063.T(H), 6501.T(H), 4661.T(H)",HOMERUN
2023-03-30,102517,17969,84547,9,"6723.T(H), 6503.T(H), 6981.T(H), 3993.T(G), 4063.T(H), 6501.T(H), 4661.T(H), 6902.T(H), 7267.T(H)",HOMERUN
2023-03-31,103777,5481,98296,11,"6723.T(H), 6503.T(H), 6981.T(H), 3993.T(G), 4063.T(H), 6501.T(H), 4661.T(H), 6902.T(H), 7267.T(H), 6758.T(H), 7751.T(H)",HOMERUN
2023-04-03,104069,5481,98587,11,"6723.T(H), 6503.T(H), 6981.T(H), 3993.T(G), 4063.T(H), 6501.T(H), 4661.T(H), 6902.T(H), 7267.T(H), 6758.T(H), 7751.T(H)",HOMERUN
