コード,現在値,前日比,騰落率,ボラティリティ,日付
8035.T,"33,590",+430,+1.30%,1.7%,2025-12-09
6146.T,"49,670",+2210,+4.66%,4.3%,2025-12-09
6920.T,"32,910",+1150,+3.62%,4.7%,2025-12-09
6857.T,"20,255",+5,+0.02%,2.1%,2025-12-09
6723.T,"2,141",+40,+1.93%,2.8%,2025-12-09
7735.T,"13,765",+90,+0.66%,2.0%,2025-12-09
6526.T,"2,348",-10,-0.40%,2.0%,2025-12-09
6758.T,"4,306",+6,+0.14%,2.0%,2025-12-09
6861.T,"54,250",-520,-0.95%,1.0%,2025-12-09
6501.T,"4,910",-1,-0.02%,1.2%,2025-12-09
6503.T,"4,593",-28,-0.61%,1.9%,2025-12-09
6981.T,"3,401",+2,+0.06%,1.3%,2025-12-09
6954.T,"6,164",+257,+4.35%,5.1%,2025-12-09
7741.T,"23,600",-325,-1.36%,1.4%,2025-12-09
6902.T,"2,036",+14,+0.67%,1.1%,2025-12-09
6367.T,"19,500",-260,-1.32%,2.2%,2025-12-09
6594.T,"2,090",-4,-0.19%,2.6%,2025-12-09
7751.T,"4,635",+59,+1.29%,1.8%,2025-12-09
7203.T,"3,066",+6,+0.20%,1.3%,2025-12-09
7267.T,"1,525",-4,-0.23%,0.7%,2025-12-09
7270.T,"3,369",+71,+2.15%,1.6%,2025-12-09
7201.T,394,+12,+3.12%,3.8%,2025-12-09
7269.T,"2,324",-6,-0.28%,2.3%,2025-12-09
8306.T,"2,486",-12,-0.50%,1.3%,2025-12-09
8316.T,"4,849",-59,-1.20%,1.4%,2025-12-09
8411.T,"5,648",-18,-0.32%,1.0%,2025-12-09
8766.T,"5,546",-58,-1.03%,2.0%,2025-12-09
8725.T,"3,588",+5,+0.14%,1.5%,2025-12-09
8591.T,"4,318",+8,+0.19%,0.9%,2025-12-09
8604.T,"1,208",-10,-0.82%,2.0%,2025-12-09
8058.T,"3,810",-9,-0.24%,1.4%,2025-12-09
8031.T,"4,308",+29,+0.68%,1.6%,2025-12-09
8001.T,"9,544",+181,+1.93%,2.1%,2025-12-09
8002.T,"4,362",+29,+0.67%,1.9%,2025-12-09
8015.T,"5,121",+37,+0.73%,1.6%,2025-12-09
2768.T,"4,759",+6,+0.13%,1.4%,2025-12-09
7011.T,"4,266",+58,+1.38%,2.0%,2025-12-09
7012.T,"11,430",+470,+4.29%,5.2%,2025-12-09
7013.T,"3,046",-3,-0.10%,2.1%,2025-12-09
6301.T,"5,047",+12,+0.24%,0.9%,2025-12-09
5401.T,622,-6,-0.96%,1.6%,2025-12-09
9101.T,"4,849",+40,+0.83%,0.7%,2025-12-09
9104.T,"4,462",+37,+0.84%,0.9%,2025-12-09
9107.T,"2,108",+26,+1.27%,1.3%,2025-12-09
9432.T,154,-0,-0.32%,0.8%,2025-12-09
9433.T,"2,685",+5,+0.19%,0.9%,2025-12-09
9984.T,"18,800",+145,+0.78%,3.5%,2025-12-09
9434.T,218,+1,+0.60%,0.8%,2025-12-09
4661.T,"2,845",-47,-1.63%,1.8%,2025-12-09
6098.T,"8,080",-16,-0.20%,1.5%,2025-12-09
7974.T,"11,900",-420,-3.41%,3.1%,2025-12-09
9684.T,"3,027",-45,-1.46%,3.9%,2025-12-09
9697.T,"3,685",-43,-1.15%,2.0%,2025-12-09
7832.T,"4,299",-65,-1.49%,2.0%,2025-12-09
9983.T,"55,670",-480,-0.85%,1.0%,2025-12-09
3382.T,"2,071",+3,+0.15%,1.0%,2025-12-09
8267.T,"2,366",+18,+0.74%,2.4%,2025-12-09
9843.T,"2,809",+6,+0.23%,1.9%,2025-12-09
3092.T,"1,278",-14,-1.04%,1.1%,2025-12-09
4385.T,"2,933",-11,-0.37%,4.1%,2025-12-09
7532.T,938,-10,-1.11%,2.1%,2025-12-09
4568.T,"3,470",+41,+1.20%,1.8%,2025-12-09
4519.T,"8,187",-37,-0.45%,1.9%,2025-12-09
4503.T,"2,020",+13,+0.65%,1.2%,2025-12-09
4502.T,"4,495",+36,+0.81%,1.2%,2025-12-09
4063.T,"4,787",-23,-0.48%,2.2%,2025-12-09
4901.T,"3,307",+29,+0.88%,2.4%,2025-12-09
4452.T,"6,227",-3,-0.05%,0.9%,2025-12-09
2914.T,"5,790",+36,+0.63%,1.0%,2025-12-09
8801.T,"1,765",-34,-1.89%,3.5%,2025-12-09
8802.T,"3,749",-71,-1.86%,3.0%,2025-12-09
1925.T,"5,164",+14,+0.27%,1.6%,2025-12-09
1801.T,"13,925",+265,+1.94%,2.0%,2025-12-09
9501.T,640,+13,+2.06%,5.3%,2025-12-09
9503.T,"2,474",-22,-0.88%,2.0%,2025-12-09
1605.T,"3,199",-10,-0.31%,1.2%,2025-12-09
5020.T,"1,082",-2,-0.18%,2.3%,2025-12-09
9020.T,"3,949",+10,+0.25%,1.3%,2025-12-09
9202.T,"2,858",-24,-0.83%,1.2%,2025-12-09
2802.T,"3,530",-25,-0.70%,1.3%,2025-12-09
